"logcmpg","EngSize","HorsePow","Wheelbase"
3.218875824868201,1.8,140,102
2.890371757896165,3.2,200,115
2.995732273553991,2.8,172,102
2.94443897916644,2.8,172,106
3.091042453358316,3.5,208,109
3.091042453358316,2.2,110,105
2.94443897916644,3.8,170,111
2.94443897916644,3.8,170,108
2.772588722239781,4.9,200,114
2.772588722239781,4.6,295,111
3.218875824868201,2.2,110,101
3.218875824868201,2.2,110,103
2.94443897916644,3.4,160,101
3.044522437723423,2.2,110,108
2.890371757896165,3.8,170,110
2.70805020110221,4.3,165,111
2.833213344056216,5,170,116
2.995732273553991,3.3,153,113
3.13549421592915,3,141,104
2.995732273553991,3.3,147,110
3.367295829986474,1.5,92,98
3.13549421592915,2.2,93,97
3.091042453358316,2.5,100,104
2.833213344056216,3,142,112
3.044522437723423,2.5,100,105
2.890371757896165,3,300,97
3.367295829986474,1.5,92,98
2.995732273553991,3.5,214,113
3.433987204485146,1.3,63,90
3.13549421592915,1.8,127,98
3.091042453358316,2.3,96,100
3.091042453358316,2.3,105,101
3.178053830347946,2,115,103
3.044522437723423,3,140,106
2.890371757896165,4.6,190,114
3.401197381662156,1.6,90,97
3.178053830347946,2.3,160,100
3.178053830347946,2.2,140,107
3.367295829986474,1.5,81,94
3.091042453358316,1.8,124,98
3.258096538021482,1.5,92,94
2.995732273553991,2,128,104
2.833213344056216,4.5,278,113
2.890371757896165,3,185,103
2.890371757896165,3,225,106
2.833213344056216,3.8,160,109
2.890371757896165,4.6,210,117
3.367295829986474,1.6,82,97
3.332204510175204,1.8,103,98
3.258096538021482,2.5,164,103
2.890371757896165,3,155,110
2.995732273553991,2.3,130,105
2.94443897916644,3.2,217,110
3.13549421592915,1.6,100,95
2.94443897916644,3.8,140,113
3.367295829986474,1.5,92,98
2.890371757896165,3,202,107
3.367295829986474,1.6,110,96
3.178053830347946,2.4,150,103
2.833213344056216,3,151,112
3.044522437723423,3,160,104
3.178053830347946,2.3,155,103
3.13549421592915,2.2,110,105
2.890371757896165,3.8,170,110
2.94443897916644,3.8,170,111
3.13549421592915,1.8,92,97
3.433987204485146,1.6,74,99
3.13549421592915,2,110,101
2.94443897916644,3.4,160,101
2.94443897916644,3.4,200,108
2.94443897916644,3.8,170,111
2.995732273553991,2.1,140,99
3.332204510175204,1.9,85,102
3.49650756146648,1.2,73,90
3.218875824868201,1.8,90,97
3.13549421592915,2.2,130,102
3.465735902799727,1.5,82,94
3.218875824868201,2.2,135,99
3.091042453358316,2.2,130,103
2.890371757896165,2.4,138,113
3.218875824868201,1.8,81,93
2.833213344056216,2.5,109,115
3.044522437723423,2,134,103
2.890371757896165,2.8,178,97
3.044522437723423,2.3,114,104
2.995732273553991,2.4,168,105
