"Grip Strength","Hand Length","Forearm Circumference"
39,18,24
65.5,21.29999923706055,29
41.5,19.70000076293945,25
37,19.5,24
35,18.5,22
48.5,19.5,28
50,19.5,25
46,19.70000076293945,26
30.5,20.10000038146973,27
54.5,21,26
52.5,18.5,28.5
62,22.29999923706055,27
42.5,19.20000076293945,26
47.5,19.20000076293945,24
41,19.20000076293945,22.5
50,21.20000076293945,26
33.5,20.20000076293945,24
36.5,17.70000076293945,22.5
48.5,21.10000038146973,28
57,18.20000076293945,28.5
29,20,23.5
54.5,20,27
35.5,19.5,23
47.5,20,26
44.5,18,25
44,20,24
40,18.29999923706055,25
31,17.5,23
42.5,19.79999923706055,27
49.5,19.39999961853027,25
38,18.20000076293945,24.79999923706055
52,19.39999961853027,25.70000076293945
50,19.79999923706055,24
39.5,19,22.29999923706055
44,21.20000076293945,23.60000038146973
47,19,25.60000038146973
41,19.10000038146973,26
42,19.10000038146973,26.70000076293945
46,19.10000038146973,25.29999923706055
52,18,26
44,19.5,26.20000076293945
46,18.70000076293945,22.89999961853027
53,19.79999923706055,28.70000076293945
61,20.29999923706055,27
61,19.20000076293945,27.70000076293945
43.5,21.39999961853027,25.39999961853027
57,21.60000038146973,27.79999923706055
49,22,24.79999923706055
36,20.70000076293945,22.5
27.5,20.39999961853027,23.39999961853027
42,21,25.5
39.5,21,23.79999923706055
38.5,20.10000038146973,23.5
46.5,20.70000076293945,26.10000038146973
49.5,20.29999923706055,25.79999923706055
36.5,20.29999923706055,24.39999961853027
48,21.29999923706055,27.39999961853027
40.5,19,24.10000038146973
40,20.60000038146973,25.20000076293945
40,20.10000038146973,24.89999961853027
46.5,21.5,24.79999923706055
52.5,20.79999923706055,27.60000038146973
35,19.5,25
40,18.70000076293945,23.5
53,19.79999923706055,25.5
42,19.20000076293945,25.5
36,20,21
40,22.29999923706055,25
57,21,26.5
35,19.20000076293945,23
47,20,25
40,19.20000076293945,27
50,20.5,26
55,18.5,26
64.5,19.70000076293945,27
44.5,18.20000076293945,26
39,18.60000038146973,26
40.5,18.10000038146973,27
46.5,17.29999923706055,27
38.5,19,24
61.5,21.29999923706055,28
54,19.5,26
43.5,18.5,27
26.5,17.5,28
40.5,20.5,26.5
54,19.89999961853027,29.5
60.59999847412109,19.20000076293945,30
