Plant	Fibre
9.300000000e+002	6.800000000e+001
8.900000000e+002	6.300000000e+001
9.300000000e+002	6.500000000e+001
3.200000000e+002	2.900000000e+001
3.100000000e+002	2.700000000e+001
3.700000000e+002	3.000000000e+001
5.400000000e+002	3.800000000e+001
8.700000000e+002	6.000000000e+001
8.100000000e+002	6.400000000e+001
4.700000000e+002	3.000000000e+001
5.400000000e+002	3.900000000e+001
4.800000000e+002	3.400000000e+001
6.800000000e+002	5.100000000e+001
5.600000000e+002	4.400000000e+001
4.600000000e+002	3.300000000e+001
3.500000000e+002	2.700000000e+001
3.000000000e+002	2.100000000e+001
3.300000000e+002	2.700000000e+001
7.000000000e+002	5.300000000e+001
8.700000000e+002	6.200000000e+001
3.700000000e+002	2.800000000e+001
3.600000000e+002	2.300000000e+001
4.700000000e+002	3.500000000e+001
3.300000000e+002	2.500000000e+001
5.900000000e+002	4.500000000e+001
8.700000000e+002	6.000000000e+001
6.200000000e+002	4.200000000e+001
5.400000000e+002	3.900000000e+001
