Protein	Gestation
3.800000000e-001	1.100000000e+001
5.800000000e-001	1.200000000e+001
5.100000000e-001	1.300000000e+001
3.800000000e-001	1.500000000e+001
5.800000000e-001	1.700000000e+001
6.700000000e-001	1.800000000e+001
8.400000000e-001	1.900000000e+001
5.600000000e-001	2.100000000e+001
7.800000000e-001	2.200000000e+001
8.600000000e-001	2.500000000e+001
6.500000000e-001	2.700000000e+001
7.400000000e-001	2.800000000e+001
8.300000000e-001	2.900000000e+001
9.900000000e-001	3.000000000e+001
8.400000000e-001	3.100000000e+001
1.040000000e+000	3.300000000e+001
9.200000000e-001	3.400000000e+001
1.180000000e+000	3.500000000e+001
9.200000000e-001	3.600000000e+001
