Diameter	Height	Volume
8.300000000e+000	7.000000000e+001	1.030000000e+001
8.600000000e+000	6.500000000e+001	1.030000000e+001
8.800000000e+000	6.300000000e+001	1.020000000e+001
1.050000000e+001	7.200000000e+001	1.640000000e+001
1.070000000e+001	8.100000000e+001	1.880000000e+001
1.080000000e+001	8.300000000e+001	1.970000000e+001
1.100000000e+001	6.600000000e+001	1.560000000e+001
1.100000000e+001	7.500000000e+001	1.820000000e+001
1.110000000e+001	8.000000000e+001	2.260000000e+001
1.120000000e+001	7.500000000e+001	1.990000000e+001
1.130000000e+001	7.900000000e+001	2.420000000e+001
1.140000000e+001	7.600000000e+001	2.100000000e+001
1.140000000e+001	7.600000000e+001	2.140000000e+001
1.170000000e+001	6.900000000e+001	2.130000000e+001
1.200000000e+001	7.500000000e+001	1.910000000e+001
1.290000000e+001	7.400000000e+001	2.220000000e+001
1.290000000e+001	8.500000000e+001	3.380000000e+001
1.330000000e+001	8.600000000e+001	2.740000000e+001
1.370000000e+001	7.100000000e+001	2.570000000e+001
1.380000000e+001	6.400000000e+001	2.490000000e+001
1.400000000e+001	7.800000000e+001	3.450000000e+001
1.420000000e+001	8.000000000e+001	3.170000000e+001
1.450000000e+001	7.400000000e+001	3.630000000e+001
1.600000000e+001	7.200000000e+001	3.830000000e+001
1.630000000e+001	7.700000000e+001	4.260000000e+001
1.730000000e+001	8.100000000e+001	5.540000000e+001
1.750000000e+001	8.200000000e+001	5.570000000e+001
1.790000000e+001	8.000000000e+001	5.830000000e+001
1.800000000e+001	8.000000000e+001	5.150000000e+001
1.800000000e+001	8.000000000e+001	5.100000000e+001
2.060000000e+001	8.700000000e+001	7.700000000e+001
