Energy	Ration	Group
4.426000000e+001	8.135000000e+001	1.000000000e+000
6.716000000e+001	9.168000000e+001	1.000000000e+000
4.815000000e+001	5.800000000e+001	1.000000000e+000
3.453000000e+001	5.863000000e+001	1.000000000e+000
6.793000000e+001	9.193000000e+001	1.000000000e+000
7.245000000e+001	9.656000000e+001	1.000000000e+000
5.347000000e+001	8.538000000e+001	1.000000000e+000
7.660000000e+001	9.850000000e+001	1.000000000e+000
5.403000000e+001	6.754000000e+001	1.000000000e+000
3.807000000e+001	6.687000000e+001	1.000000000e+000
4.059000000e+001	4.896000000e+001	2.000000000e+000
8.763000000e+001	6.909000000e+001	2.000000000e+000
4.884000000e+001	6.131000000e+001	2.000000000e+000
8.340000000e+001	8.145000000e+001	2.000000000e+000
3.227000000e+001	4.877000000e+001	2.000000000e+000
4.096000000e+001	5.330000000e+001	2.000000000e+000
4.393000000e+001	6.032000000e+001	2.000000000e+000
5.730000000e+001	6.842000000e+001	2.000000000e+000
7.101000000e+001	8.176000000e+001	2.000000000e+000
5.085000000e+001	5.491000000e+001	2.000000000e+000
