n(t)	t	logn(t)
3.550000000e+004	6.000000000e+000	1.047728798e+001
2.110000000e+004	1.200000000e+001	9.957028319e+000
1.970000000e+004	1.800000000e+001	9.888373915e+000
1.660000000e+004	2.400000000e+001	9.717157974e+000
1.420000000e+004	3.000000000e+001	9.560997244e+000
1.060000000e+004	3.600000000e+001	9.268609280e+000
1.040000000e+004	4.200000000e+001	9.249561085e+000
6.000000000e+003	4.800000000e+001	8.699514748e+000
5.600000000e+003	5.400000000e+001	8.630521877e+000
3.800000000e+003	6.000000000e+001	8.242756346e+000
3.600000000e+003	6.600000000e+001	8.188689124e+000
3.200000000e+003	7.200000000e+001	8.070906089e+000
2.100000000e+003	7.800000000e+001	7.649692624e+000
1.900000000e+003	8.400000000e+001	7.549609165e+000
1.500000000e+003	9.000000000e+001	7.313220387e+000
