abras	hard	strength
3.720000000e+002	4.500000000e+001	1.620000000e+002
2.060000000e+002	5.500000000e+001	2.330000000e+002
1.750000000e+002	6.100000000e+001	2.320000000e+002
1.540000000e+002	6.600000000e+001	2.310000000e+002
1.360000000e+002	7.100000000e+001	2.310000000e+002
1.120000000e+002	7.100000000e+001	2.370000000e+002
5.500000000e+001	8.100000000e+001	2.240000000e+002
4.500000000e+001	8.600000000e+001	2.190000000e+002
2.210000000e+002	5.300000000e+001	2.030000000e+002
1.660000000e+002	6.000000000e+001	1.890000000e+002
1.640000000e+002	6.400000000e+001	2.100000000e+002
1.130000000e+002	6.800000000e+001	2.100000000e+002
8.200000000e+001	7.900000000e+001	1.960000000e+002
3.200000000e+001	8.100000000e+001	1.800000000e+002
2.280000000e+002	5.600000000e+001	2.000000000e+002
1.960000000e+002	6.800000000e+001	1.730000000e+002
1.280000000e+002	7.500000000e+001	1.880000000e+002
9.700000000e+001	8.300000000e+001	1.610000000e+002
6.400000000e+001	8.800000000e+001	1.190000000e+002
2.490000000e+002	5.900000000e+001	1.610000000e+002
2.190000000e+002	7.100000000e+001	1.510000000e+002
1.860000000e+002	8.000000000e+001	1.650000000e+002
1.550000000e+002	8.200000000e+001	1.510000000e+002
1.140000000e+002	8.900000000e+001	1.280000000e+002
3.410000000e+002	5.100000000e+001	1.610000000e+002
3.400000000e+002	5.900000000e+001	1.460000000e+002
2.830000000e+002	6.500000000e+001	1.480000000e+002
2.670000000e+002	7.400000000e+001	1.440000000e+002
2.150000000e+002	8.100000000e+001	1.340000000e+002
1.480000000e+002	8.600000000e+001	1.270000000e+002
