giving	employ	elect	attend
4.300000000e+001	8.990000000e+001	7.200000000e+000	4.600000000e+000
6.100000000e+001	8.360000000e+001	1.900000000e+000	1.400000000e+000
3.700000000e+001	8.640000000e+001	5.700000000e+000	3.100000000e+000
5.400000000e+001	8.710000000e+001	3.200000000e+000	2.300000000e+000
7.100000000e+001	8.960000000e+001	3.000000000e+000	2.400000000e+000
3.700000000e+001	8.770000000e+001	8.700000000e+000	4.100000000e+000
5.500000000e+001	8.930000000e+001	2.300000000e+000	1.900000000e+000
4.300000000e+001	8.500000000e+001	3.700000000e+000	2.600000000e+000
4.300000000e+001	8.270000000e+001	3.400000000e+000	1.900000000e+000
4.900000000e+001	9.280000000e+001	5.100000000e+000	3.400000000e+000
4.800000000e+001	8.490000000e+001	3.500000000e+000	2.400000000e+000
3.600000000e+001	8.630000000e+001	5.400000000e+000	3.100000000e+000
4.400000000e+001	8.260000000e+001	3.100000000e+000	2.500000000e+000
4.300000000e+001	8.590000000e+001	3.300000000e+000	2.300000000e+000
5.600000000e+001	9.200000000e+001	3.900000000e+000	3.000000000e+000
4.300000000e+001	8.940000000e+001	3.800000000e+000	2.500000000e+000
3.600000000e+001	8.770000000e+001	4.600000000e+000	2.900000000e+000
5.600000000e+001	8.810000000e+001	2.700000000e+000	2.100000000e+000
4.500000000e+001	8.660000000e+001	3.000000000e+000	2.200000000e+000
4.000000000e+001	9.000000000e+001	4.900000000e+000	3.300000000e+000
