lAltitude,lMeanDepth,lRettime,lAlkalinity,lColour,lTotalP,ltotalbio
5.5093883,2.07944154,-1.57418178,0.26390154,3.6737658,4.520701,10.429281
5.2149358,2.8678989,-0.19703243,-0.99967234,4.5217886,2.9957323,11.544453
5.2149358,2.8678989,-0.19703243,-1.09064412,4.6151205,1.9459101,11.450773
5.4161004,-0.69314718,-3.53560916,0.31626953,4.3944492,4.6051702,14.469791
5.4161004,-0.69314718,-3.53560916,0.16720792,4.8865826,4.0943446,11.76289
5.4161004,-0.69314718,-3.53560916,0.13627762,5.0106353,4.339467,13.112285
5.5490761,0,-0.79186095,0.43048287,3.7135721,2.7080502,13.802554
5.5490761,0,-0.79186095,0.45362015,3.8918203,3.2188758,12.942878
5.4971682,-0.35667494,-2.59839343,0.58667494,3.6635616,2.7080502,12.124879
5.4971682,-0.35667494,-2.59839343,0.60212778,3.7841896,3.2188758,11.906318
5.4971682,-0.35667494,-2.59839343,0.68208623,3.4531571,2.6390573,8.538367
4.8520303,1.60943791,0.96540046,0.04305949,2.9806186,3.5263605,16.096693
4.8520303,1.60943791,0.96540046,-0.0661398,2.7343675,2.6390573,14.32475
4.2195077,1.6639261,-3.17996766,-0.86750057,2.0541237,3.2958369,15.057107
4.2195077,1.6639261,-3.17996766,-1.34068258,3.183594,2.944439,13.505631
4.2195077,1.6639261,-3.17996766,-0.48126682,2.0668628,3.1780538,14.443398
4.9698133,3.2308044,-0.22669234,-0.84397007,1.9021075,3.5263605,14.996382
4.9698133,3.2308044,-0.22669234,-1.10262031,1.7578579,2.7472709,14.12194
4.9698133,3.2308044,-0.22669234,-0.5798185,1.8870696,3.4011974,13.328637
4.3307333,1.70474809,-2.02738814,-1.71479843,3.0130809,3.6109179,14.682145
4.3307333,1.70474809,-2.02738814,-1.96611286,2.014903,2.1102132,12.701092
4.3307333,1.70474809,-2.02738814,-0.97816614,2.0281482,3.3322045,12.770366
4.8283137,2.12465388,-0.88002631,-1.551169,2.442347,1.7917595,14.378868
4.8283137,2.12465388,-0.88002631,-1.1776555,2.1747517,1.6094379,14.957834
4.8283137,2.12465388,-0.88002631,-1.22417551,1.686399,3.0540012,13.505627
4.8283137,2.12465388,-0.88002631,-0.83932969,1.9315214,3.6375862,14.562247
4.5643482,3.28466357,-0.70101807,-2.99573227,2.2925348,0.2231436,13.096717
4.5643482,3.28466357,-0.70101807,-2.3644605,0.2231436,2.9957323,11.1629
4.5643482,3.28466357,-0.70101807,-3.68887945,0.2231436,3.6888795,11.575881
5.1817836,2.77757626,-0.42356289,-3.68887945,2.5952547,0.2231436,13.297748
5.1817836,2.77757626,-0.42356289,-2.95651156,2.1747517,2.6567569,12.740807
5.1817836,2.77757626,-0.42356289,-2.10373423,2.1517622,4.6249728,11.609898
4.634729,2.8094027,-1.24699513,-2.99573227,1.2311015,2.6741486,11.319875
4.634729,2.8094027,-1.24699513,-3.06830297,0.2231436,2.9470671,11.537842
4.634729,2.8094027,-1.24699513,-3.68887945,0.2231436,3.4965076,11.385206
4.7273878,2.87694874,-0.5693644,-3.68887945,2.0281482,0.2231436,11.708731
4.7273878,2.87694874,-0.5693644,-3.68887945,0.2231436,0.2231436,13.307469
4.7273878,2.87694874,-0.5693644,-0.59420723,0.2231436,3.2188758,12.004758
5.5412635,1.38629436,-2.16157176,0.491031,2.5572273,3.7841896,12.420732
4.1588831,3.68210657,0.13969846,-2.77258872,0.2231436,3.0910425,11.746819
4.1588831,3.68210657,0.13969846,-2.59695615,0.2231436,2.6119063,11.18235
4.1588831,3.68210657,0.13969846,-2.23492644,0.2231436,2.2240829,10.349519
4.1588831,3.68210657,0.13969846,-3.68887945,4.5798524,3.6888795,11.854819
4.1108739,2.04640169,-2.59688904,-1.57987911,2.00148,3.0445224,13.470823
4.1108739,2.04640169,-2.59688904,-2.59026717,3.1780538,2.9957323,14.805571
4.1108739,2.04640169,-2.59688904,-1.37042101,1.8082888,2.9957323,12.934082
4.1108739,2.04640169,-2.59688904,-1.29462717,2.5176965,3.5263605,14.06057
3.9702919,1.09861229,-5.4776833,-1.11474167,0.2231436,3.0910425,14.653491
3.9702919,1.09861229,-5.4776833,-1.65025991,2.74084,1.9459101,13.088792
3.9702919,1.09861229,-5.4776833,-2.05572502,2.4248027,1.6094379,11.515362
3.6109179,3.05870707,-0.36287987,-1.13113445,2.0626345,3.4231763,14.7068
3.6109179,3.05870707,-0.36287987,-2.59026717,2.3025851,3.3322045,15.030987
3.6109179,3.05870707,-0.36287987,-0.82098055,0.2231436,2.0794415,12.934563
3.6109179,3.05870707,-0.36287987,-0.9063404,1.6292405,3.1780538,15.403982
3.8501476,1.91545094,-2.19392802,-0.18272164,2.9856819,3.4339872,14.531808
3.8501476,1.91545094,-2.19392802,-0.51416453,3.4934727,3.6888795,14.629598
3.8286414,3.18221184,0.04028457,-1.26230838,1.9387417,3.3322045,13.907559
3.8286414,3.18221184,0.04028457,-0.87227385,2.2823824,1.7917595,13.075898
3.8286414,3.18221184,0.04028457,-1.47840965,2.2512918,0.2231436,13.105278
3.8286414,3.18221184,0.04028457,-1.21570806,0.2231436,3.0007198,13.465669
3.8286414,3.18221184,0.04028457,-1.1457039,2.0794415,3.3322045,13.471372
4.1743873,1.85629799,-1.42766651,-0.69314718,2.1747517,3.4965076,15.966859
4.1743873,1.85629799,-1.42766651,-0.54472718,2.7472709,2.4849066,15.120783
5.5053315,1.25276297,-3.94387493,0.7975072,1.7227666,2.4849066,12.506733
2.0794415,1.58923521,-0.89181766,1.19392247,2.0918641,3.7841896,14.400912
2.0794415,1.58923521,-0.89181766,1.25276297,2.4595888,3.3672958,12.039109
2.0794415,1.58923521,-0.89181766,1.30833282,2.2192035,2.9957323,13.224729
5.926926,0.40546511,-1.67193053,0.18232156,2.3978953,3.2771447,17.241165
5.2203558,2.29253476,-1.19376178,-0.86750057,4.4624539,3.2580965,12.489076
5.2203558,2.29253476,-1.19376178,-0.67727383,4.5282891,3.3672958,12.711187
2.0794415,-0.22314355,-1.32874269,0.90825856,2.7725887,6.539586,15.359644
5.4680601,2.32238772,-2.08241395,-2.59026717,4.2584456,4.5325995,13.091667
3.8066625,-1.2039728,-3.01375369,0.13976194,4.1795024,4.5361773,15.203876
3.8066625,-1.2039728,-3.01375369,0.20701417,3.8607297,4.1351666,13.471762
5.3278762,2.62466859,-1.5171596,-0.97286108,3.7352858,4.0430513,13.137351
5.3278762,2.62466859,-1.5171596,-0.74654796,3.8242841,3.3672958,13.061479
5.3278762,2.62466859,-1.5171596,-0.59420723,3.9060049,4.0253517,13.338998
5.3278762,2.62466859,-1.5171596,-1.13943428,2.5257286,4.1588831,14.098737
3.7376696,0.40546511,-1.21966868,-0.13926207,2.944439,3.5553481,13.709235
3.7376696,0.40546511,-1.21966868,-0.05129329,3.1354942,3.2580965,13.700964
3.7376696,0.40546511,-1.21966868,-0.10536052,3.1780538,3.0445224,15.633184
3.7376696,0.40546511,-1.21966868,0,2.8903718,3.0445224,14.282639
3.2958369,2.61006979,0.96786293,0.94000726,2.9285235,4.0073332,16.798363
3.2958369,2.61006979,0.96786293,0.78845736,4.0018637,4.6728288,16.136145
3.2958369,2.61006979,0.96786293,0.85015093,3.2958369,4.2626799,14.961079
3.9512437,1.02961942,-0.66857165,0.66165651,3.6558396,3.2958369,15.264491
