cal.age rc.age
2000 2065
2020 2077
2040 2090
2060 2116
2080 2127
2100 2133
2120 2136
2140 2165
2160 2220
2180 2197
2200 2209
2220 2265
2240 2205
2260 2223
2280 2216
2300 2203
2320 2240
2340 2295
2360 2457
2380 2437
2400 2406
2420 2423
2440 2432
2460 2433
2480 2457
2500 2497
2520 2506
2540 2494
2560 2521
2580 2502
2600 2486
2620 2524
2640 2476
2660 2459
2680 2466
2700 2458
2720 2522
2740 2541
2760 2654
2780 2675
2800 2716
2820 2744
2840 2728
2860 2765
2880 2824
2900 2829
2920 2806
2940 2828
2960 2872
2980 2876
3000 2905
